idna_subject,checker_type,destination,source,tested_at,session_id
ad-loupe.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:53.529823,9063c8f2fe8e22105ad3d2f3
adbsys.icu,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:53.687623,9063c8f2fe8e22105ad3d2f3
addesigner.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:53.858949,9063c8f2fe8e22105ad3d2f3
188affiliates.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:54.021558,9063c8f2fe8e22105ad3d2f3
adnety.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:54.827554,9063c8f2fe8e22105ad3d2f3
admarketplace.net,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:55.280230,9063c8f2fe8e22105ad3d2f3
adpop-1.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:55.289004,9063c8f2fe8e22105ad3d2f3
adpstatic.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:55.877745,9063c8f2fe8e22105ad3d2f3
adplus.co.id,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:56.236288,9063c8f2fe8e22105ad3d2f3
adflazz.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:56.405149,9063c8f2fe8e22105ad3d2f3
adreviewcamp.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:56.566100,9063c8f2fe8e22105ad3d2f3
accesstrade.co.id,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:56.597517,9063c8f2fe8e22105ad3d2f3
ads-link.net,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:56.713667,9063c8f2fe8e22105ad3d2f3
adscpm.site,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:57.376106,9063c8f2fe8e22105ad3d2f3
adsbingo.com,AVAILABILITY,origin.list,origin.list,2023-08-29 05:11:57.575631,9063c8f2fe8e22105ad3d2f3
