# Generated by PyFunceble (v4.2.4.dev) / https://pyfunceble.github.io
# Date of generation: 2023-09-23T05:46:46.883603

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                15%          12          
Namecheap                      10%          8           
URL Solutions, Inc.            7%           6           
DYNADOT, LLC                   5%           4           
Digital Registra               5%           4           
Dynadot LLC                    5%           4           
GoDaddy.com, LLC               5%           4           
NameSilo, LLC                  5%           4           
Registrasi Neva Angkasa        5%           4           
ResellerCamp                   5%           4           
eNom, LLC                      5%           4           
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn) 2%           2           
Amazon Registrar, Inc.         2%           2           
Dynadot, LLC                   2%           2           
Go Daddy, LLC                  2%           2           
NameCheap, Inc.                15%          12          
Namecheap                      10%          8           
URL Solutions, Inc.            7%           6           
DYNADOT, LLC                   5%           4           
Digital Registra               5%           4           
Dynadot LLC                    5%           4           
GoDaddy.com, LLC               5%           4           
NameSilo, LLC                  5%           4           
Registrasi Neva Angkasa        5%           4           
ResellerCamp                   5%           4           
eNom, LLC                      5%           4           
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn) 2%           2           
Amazon Registrar, Inc.         2%           2           
Dynadot, LLC                   2%           2           
Go Daddy, LLC                  2%           2           
